output_file,date,rule,version,log-file(s),input-file(s),shellcmd,status,plan
resources/energy_totals.csv,Sat Aug  5 10:32:11 2023,build_energy_totals,-,logs/test-tgi/build_energy_totals.log,data/district_heat_share.csv;data/eea/UNFCCC_v23.csv;data/eurostat-energy_balances-june_2016_edition;data/jrc-idees-2015;data/switzerland-sfoe/switzerland-new_format.csv;resources/nuts3_shapes.geojson,-,ok,update pending
resources/co2_totals.csv,Sat Aug  5 10:32:11 2023,build_energy_totals,-,logs/test-tgi/build_energy_totals.log,data/district_heat_share.csv;data/eea/UNFCCC_v23.csv;data/eurostat-energy_balances-june_2016_edition;data/jrc-idees-2015;data/switzerland-sfoe/switzerland-new_format.csv;resources/nuts3_shapes.geojson,-,ok,update pending
resources/transport_data.csv,Sat Aug  5 10:32:11 2023,build_energy_totals,-,logs/test-tgi/build_energy_totals.log,data/district_heat_share.csv;data/eea/UNFCCC_v23.csv;data/eurostat-energy_balances-june_2016_edition;data/jrc-idees-2015;data/switzerland-sfoe/switzerland-new_format.csv;resources/nuts3_shapes.geojson,-,ok,update pending
resources/pop_weighted_energy_totals_s180_37m.csv,Wed Aug 16 11:45:59 2023,build_population_weighted_energy_totals,-,logs/test-tgi/build_population_weighted_energy_totals_s180_37m.log,resources/energy_totals.csv;resources/pop_layout_elec_s180_37m.csv,-,ok,update pending
resources/pop_layout_elec_s180_37m.csv,Wed Aug 16 11:45:29 2023,build_clustered_population_layouts,-,logs/test-tgi/build_clustered_population_layouts_180_37m.log,cutouts/europe-2013-era5.nc;resources/pop_layout_rural.nc;resources/pop_layout_total.nc;resources/pop_layout_urban.nc;resources/regions_onshore_elec_s180_37m.geojson,-,ok,update pending
resources/pop_layout_total.nc,Sat Aug  5 10:28:03 2023,build_population_layouts,-,logs/test-tgi/build_population_layouts.log,cutouts/europe-2013-era5.nc;data/urban_percent.csv;resources/nuts3_shapes.geojson,-,ok,update pending
resources/pop_layout_urban.nc,Sat Aug  5 10:28:03 2023,build_population_layouts,-,logs/test-tgi/build_population_layouts.log,cutouts/europe-2013-era5.nc;data/urban_percent.csv;resources/nuts3_shapes.geojson,-,ok,update pending
resources/pop_layout_rural.nc,Sat Aug  5 10:28:03 2023,build_population_layouts,-,logs/test-tgi/build_population_layouts.log,cutouts/europe-2013-era5.nc;data/urban_percent.csv;resources/nuts3_shapes.geojson,-,ok,update pending
resources/shipping_demand_s180_37m.csv,Wed Aug 16 11:45:20 2023,build_shipping_demand,-,logs/test-tgi/build_shipping_demand_s180_37m.log,data/attributed_ports.json;resources/energy_totals.csv;resources/europe_shape.geojson;resources/regions_onshore_elec_s180_37m.geojson,-,ok,update pending
resources/transport_demand_s180_37m.csv,Wed Aug 16 11:46:06 2023,build_transport_demand,-,logs/test-tgi/build_transport_demand_s180_37m.log,data/emobility/KFZ__count;data/emobility/Pkw__count;resources/pop_layout_elec_s180_37m.csv;resources/pop_weighted_energy_totals_s180_37m.csv;resources/temp_air_total_elec_s180_37m.nc;resources/transport_data.csv,-,ok,update pending
resources/transport_data_s180_37m.csv,Wed Aug 16 11:46:06 2023,build_transport_demand,-,logs/test-tgi/build_transport_demand_s180_37m.log,data/emobility/KFZ__count;data/emobility/Pkw__count;resources/pop_layout_elec_s180_37m.csv;resources/pop_weighted_energy_totals_s180_37m.csv;resources/temp_air_total_elec_s180_37m.nc;resources/transport_data.csv,-,ok,update pending
resources/avail_profile_s180_37m.csv,Wed Aug 16 11:46:06 2023,build_transport_demand,-,logs/test-tgi/build_transport_demand_s180_37m.log,data/emobility/KFZ__count;data/emobility/Pkw__count;resources/pop_layout_elec_s180_37m.csv;resources/pop_weighted_energy_totals_s180_37m.csv;resources/temp_air_total_elec_s180_37m.nc;resources/transport_data.csv,-,ok,update pending
resources/dsm_profile_s180_37m.csv,Wed Aug 16 11:46:06 2023,build_transport_demand,-,logs/test-tgi/build_transport_demand_s180_37m.log,data/emobility/KFZ__count;data/emobility/Pkw__count;resources/pop_layout_elec_s180_37m.csv;resources/pop_weighted_energy_totals_s180_37m.csv;resources/temp_air_total_elec_s180_37m.nc;resources/transport_data.csv,-,ok,update pending
resources/temp_soil_total_elec_s180_37m.nc,Wed Aug 16 11:45:40 2023,build_temperature_profiles,-,logs/test-tgi/build_temperature_profiles_total_180_37m.log,cutouts/europe-2013-era5.nc;resources/pop_layout_total.nc;resources/regions_onshore_elec_s180_37m.geojson,-,ok,update pending
resources/temp_air_total_elec_s180_37m.nc,Wed Aug 16 11:45:40 2023,build_temperature_profiles,-,logs/test-tgi/build_temperature_profiles_total_180_37m.log,cutouts/europe-2013-era5.nc;resources/pop_layout_total.nc;resources/regions_onshore_elec_s180_37m.geojson,-,ok,update pending
resources/biomass_potentials_all_s180_37m.csv,Wed Aug 16 11:45:48 2023,build_biomass_potentials,-,logs/test-tgi/build_biomass_potentials_s180_37m.log,cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/ENSPRESO/ENSPRESO_BIOMASS.xlsx;data/bundle/ch_cantons.csv;data/bundle/je-e-21.03.02.xls;data/bundle/nama_10r_3popgdp.tsv.gz;data/nuts/NUTS_RG_10M_2013_4326_LEVL_2.geojson;resources/country_shapes.geojson;resources/regions_onshore_elec_s180_37m.geojson,-,ok,update pending
resources/biomass_potentials_s180_37m.csv,Wed Aug 16 11:45:48 2023,build_biomass_potentials,-,logs/test-tgi/build_biomass_potentials_s180_37m.log,cidportal.jrc.ec.europa.eu/ftp/jrc-opendata/ENSPRESO/ENSPRESO_BIOMASS.xlsx;data/bundle/ch_cantons.csv;data/bundle/je-e-21.03.02.xls;data/bundle/nama_10r_3popgdp.tsv.gz;data/nuts/NUTS_RG_10M_2013_4326_LEVL_2.geojson;resources/country_shapes.geojson;resources/regions_onshore_elec_s180_37m.geojson,-,ok,update pending
resources/salt_cavern_potentials_s180_37m.csv,Wed Aug 16 11:45:22 2023,build_salt_cavern_potentials,-,logs/test-tgi/build_salt_cavern_potentials_s180_37m.log,data/h2_salt_caverns_GWh_per_sqkm.geojson;resources/regions_offshore_elec_s180_37m.geojson;resources/regions_onshore_elec_s180_37m.geojson,-,ok,update pending
resources/pop_layout_elec_s180.csv,Wed Aug 16 11:43:47 2023,build_simplified_population_layouts,-,logs/test-tgi/build_simplified_population_layouts_180,cutouts/europe-2013-era5.nc;resources/pop_layout_rural.nc;resources/pop_layout_total.nc;resources/pop_layout_urban.nc;resources/regions_onshore_elec_s180.geojson,-,ok,update pending
resources/industrial_energy_demand_elec_s180_37m_2030.csv,Wed Aug 16 11:45:55 2023,build_industrial_energy_demand_per_node,-,logs/test-tgi/build_industrial_energy_demand_per_node_s180_37m_2030.log,resources/industrial_energy_demand_today_elec_s180_37m.csv;resources/industrial_production_elec_s180_37m_2030.csv;resources/industry_sector_ratios.csv,-,ok,update pending
resources/industry_sector_ratios.csv,Sat Aug  5 10:27:30 2023,build_industry_sector_ratios,-,logs/test-tgi/build_industry_sector_ratios.log,data/jrc-idees-2015;resources/ammonia_production.csv,-,ok,update pending
resources/ammonia_production.csv,Sat Aug  5 10:27:21 2023,build_ammonia_production,-,logs/test-tgi/build_ammonia_production.log,data/myb1-2017-nitro.xls,-,ok,update pending
resources/industrial_production_elec_s180_37m_2030.csv,Wed Aug 16 11:45:40 2023,build_industrial_production_per_node,-,logs/test-tgi/build_industrial_production_per_node_s180_37m_2030.log,resources/industrial_distribution_key_elec_s180_37m.csv;resources/industrial_production_per_country_tomorrow_2030.csv,-,ok,update pending
resources/industrial_distribution_key_elec_s180_37m.csv,Wed Aug 16 11:45:36 2023,build_industrial_distribution_key,-,logs/test-tgi/build_industrial_distribution_key_s180_37m.log,data/Industrial_Database.csv;resources/pop_layout_elec_s180_37m.csv;resources/regions_onshore_elec_s180_37m.geojson,-,ok,update pending
resources/industrial_production_per_country_tomorrow_2030.csv,Wed Aug 16 11:39:11 2023,build_industrial_production_per_country_tomorrow,-,logs/test-tgi/build_industrial_production_per_country_tomorrow_2030.log,resources/industrial_production_per_country.csv,-,ok,update pending
resources/industrial_production_per_country.csv,Wed Aug 16 11:39:05 2023,build_industrial_production_per_country,-,logs/test-tgi/build_industrial_production_per_country.log,data/eurostat-energy_balances-may_2018_edition;data/jrc-idees-2015;resources/ammonia_production.csv,-,ok,update pending
resources/industrial_energy_demand_today_elec_s180_37m.csv,Wed Aug 16 11:45:41 2023,build_industrial_energy_demand_per_node_today,-,logs/test-tgi/build_industrial_energy_demand_per_node_today_s180_37m.log,resources/industrial_distribution_key_elec_s180_37m.csv;resources/industrial_energy_demand_per_country_today.csv,-,ok,update pending
resources/industrial_energy_demand_per_country_today.csv,Wed Aug 16 11:39:10 2023,build_industrial_energy_demand_per_country_today,-,logs/test-tgi/build_industrial_energy_demand_per_country_today.log,data/jrc-idees-2015;resources/ammonia_production.csv;resources/industrial_production_per_country.csv,-,ok,update pending
resources/heat_demand_urban_elec_s180_37m.nc,Wed Aug 16 11:49:39 2023,build_heat_demands,-,logs/test-tgi/build_heat_demands_urban_180_37m.loc,cutouts/europe-2013-era5.nc;resources/pop_layout_urban.nc;resources/regions_onshore_elec_s180_37m.geojson,-,ok,update pending
resources/heat_demand_rural_elec_s180_37m.nc,Wed Aug 16 11:49:22 2023,build_heat_demands,-,logs/test-tgi/build_heat_demands_rural_180_37m.loc,cutouts/europe-2013-era5.nc;resources/pop_layout_rural.nc;resources/regions_onshore_elec_s180_37m.geojson,-,ok,update pending
resources/heat_demand_total_elec_s180_37m.nc,Wed Aug 16 11:49:56 2023,build_heat_demands,-,logs/test-tgi/build_heat_demands_total_180_37m.loc,cutouts/europe-2013-era5.nc;resources/pop_layout_total.nc;resources/regions_onshore_elec_s180_37m.geojson,-,ok,update pending
resources/temp_soil_rural_elec_s180_37m.nc,Wed Aug 16 11:46:00 2023,build_temperature_profiles,-,logs/test-tgi/build_temperature_profiles_rural_180_37m.log,cutouts/europe-2013-era5.nc;resources/pop_layout_rural.nc;resources/regions_onshore_elec_s180_37m.geojson,-,ok,update pending
resources/temp_air_rural_elec_s180_37m.nc,Wed Aug 16 11:46:00 2023,build_temperature_profiles,-,logs/test-tgi/build_temperature_profiles_rural_180_37m.log,cutouts/europe-2013-era5.nc;resources/pop_layout_rural.nc;resources/regions_onshore_elec_s180_37m.geojson,-,ok,update pending
resources/temp_soil_urban_elec_s180_37m.nc,Wed Aug 16 11:46:20 2023,build_temperature_profiles,-,logs/test-tgi/build_temperature_profiles_urban_180_37m.log,cutouts/europe-2013-era5.nc;resources/pop_layout_urban.nc;resources/regions_onshore_elec_s180_37m.geojson,-,ok,update pending
resources/temp_air_urban_elec_s180_37m.nc,Wed Aug 16 11:46:20 2023,build_temperature_profiles,-,logs/test-tgi/build_temperature_profiles_urban_180_37m.log,cutouts/europe-2013-era5.nc;resources/pop_layout_urban.nc;resources/regions_onshore_elec_s180_37m.geojson,-,ok,update pending
