snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Oil,Methanol,Decentralized heat,CO2 emissions,Electricity,Centralized heat,Hydrogen,Electricity,Centralized heat,Methane,Electricity,Ammonia,Methane,CO2 captured,Centralized heat,Electricity,Decentralized heat,Decentralized heat,CO2 emissions,Centralized heat,Electricity,Centralized heat,Decentralized heat,Centralized heat
sector,Shipping emissions,Aviation emissions,Industry emissions,Industry CC,Fischer-Tropsch,Methanol production,Heat Pump,Transport emissions,Offwind,Heat Pump,Electrolysis,Onwind,Waste Heat,Imports,Solar,Haber-Bosch,Storage,Central heat production CC,Gas CHP CC,Gas CHP CC,Resistive heater,Gas Boiler,Decentral heat production emissions,Resistive heater,Battery,Storage,Storage,Gas Boiler
2050-07-20 21:00:00,2.374508766511247,0.325259039312778,1.005031133169777,0.780406809309364,0.7528130838377631,0.2078603714014991,1.3051697247907348,0.1012792865594099,5.708826408234685,0.3683556274028706,0.2392251006778164,0.6961727603723897,0.1917657155198067,1.6108208720368091,,2.0163397388424392e-07,,5.7653221316291884e-08,7.489223421963897e-08,6.711801934647566e-08,1.2667666158988124e-07,1.5027340069421876e-07,7.558051268225772e-08,7.474612098997792e-08,0.1241329100599522,2.6433761605426892e-06,7.294531201039575e-07,7.337681392538329e-08
2050-07-21 00:00:00,2.374508766511247,0.325259039312778,1.0050311331689243,0.7804068093186638,0.7528131035659887,0.2078604243332555,1.3051696712210463,0.0437585451650213,3.9627813419920974,0.0001000382451586,0.2392252056731875,0.5293142516189453,0.19176574899119112,1.61461669204407,,2.0857468131856126e-07,,5.796572888237178e-08,7.530120359523929e-08,6.7484712136273e-08,1.276626835152046e-07,1.5059406299336185e-07,7.57299530912781e-08,7.583163745395437e-08,0.1335390902596936,0.3682581860613531,7.497031264192417e-07,7.379798785920731e-08
2050-07-21 03:00:00,2.374508766511247,0.325259039312778,1.0050311331738304,0.7804068093051449,0.752813112615816,0.2078604460201576,1.305169452758033,0.0720689811741735,4.108304674505369,0.0717873796709059,0.2392252503931128,0.4906733749765808,0.1917657641964357,1.6192873287494618,,2.1266760611391617e-07,,5.809268613724834e-08,7.549595647938027e-08,6.765905685484724e-08,1.2870368788182497e-07,1.5104510958318018e-07,7.596712256552831e-08,7.647039911813649e-08,0.25342175509044174,0.2965708254099157,8.573067924095674e-07,7.398149342399724e-08
2050-07-21 06:00:00,2.374508766511247,0.325259039312778,1.0050311331788855,0.7804068092892091,0.7528129849494043,0.2078608435926319,1.3051696132065604,0.2531442716546715,2.1377845727374227,0.3683575231768947,0.2392267706701836,0.1280519350233341,0.19176601947182453,1.624564100850403,6.539783551986477,1.8729284547339814e-07,0.0,5.507803647912032e-08,7.072608971654618e-08,6.338235504660605e-08,1.391411863420194e-07,1.492168099563532e-07,7.541811727736362e-08,7.690898331150396e-08,2.216740931919789e-06,3.43901889969745e-07,7.383741094541612e-07,7.154556883845768e-08
2050-07-21 09:00:00,2.374508766511247,0.325259039312778,1.0050311331828459,0.780406809263865,0.7528127289664884,0.2078613182418601,1.3051688596237805,0.461082916186737,0.6810661525197602,0.3684025708110549,0.2392274045040906,,0.19176611481622186,1.6293893221433258,13.640526850594906,1.6810804157096646e-07,2.717477245913935,5.070915956406207e-08,6.336225307910364e-08,5.67814984154698e-08,1.6682608088386378e-07,1.4541010141907614e-07,7.33223758781307e-08,8.503310248908908e-08,6.790443795722179e-07,1.362365413943876e-07,5.861671267069526e-07,6.866440277973806e-08
2050-07-21 12:00:00,2.374508766511247,0.325259039312778,1.00503113318371,0.7804068092606768,0.752812735394777,0.2078613188648456,1.3051737835677755,0.5110275804961499,1.0055412458314907,1.9173426226412429,0.2392274057106467,0.011552479634072,0.19176611676185207,1.6326861052068418,13.394973187870988,1.686225725946505e-07,2.725931182886328,5.077960199374798e-08,6.344535365280343e-08,5.6855923452374365e-08,1.6431789171797054e-07,1.4478422765599624e-07,7.312172864649913e-08,8.51188650729023e-08,6.787677827700942e-07,1.3297370688560469e-07,5.29631893177392e-07,6.872319527309768e-08
2050-07-21 15:00:00,2.374508766511247,0.325259039312778,1.005031133179252,0.7804068092856489,0.7528128406218295,0.2078598824309141,1.3051687364297717,0.469013011964076,2.1264050271374373,0.3683575347717968,0.2392248534295217,0.0840255086742343,0.19176553348213804,1.6343017446496184,6.564076800496766,1.5663205622176618e-07,,5.474530355000732e-08,7.076994965070747e-08,6.34214158353342e-08,1.2872940681440977e-07,1.4795877228322836e-07,7.481158656869296e-08,6.760752467767351e-08,1.9721078561809252e-06,1.7468906601200604e-07,6.946965795539551e-07,6.974413228359822e-08
2050-07-21 18:00:00,2.374508766511247,0.325259039312778,1.0050311331729722,0.7804068092894966,0.7528129582552183,0.2078576168403486,1.305170169490843,0.2313590507951177,2.4989087573007187,0.397064979742036,5.258616403817321e-06,0.2726347166301964,0.1630588233009206,1.6349671431655084,0.31040712729715497,1.635859064509744e-07,,5.6718037985268725e-08,7.407898601664266e-08,6.6389351978675e-08,1.1799387674857973e-07,1.4914606856742426e-07,7.523330852953967e-08,6.577286314864537e-08,2.0085865045712296e-06,3.149276778690597e-07,6.164575236630037e-07,7.116645648988635e-08
2050-07-21 21:00:00,2.374508766511247,0.325259039312778,1.005031133168243,0.7804068093055032,0.7528130886180862,0.0623653107193179,1.3051697505915285,0.0753036165463836,1.3074426452784267,0.2059512311821536,6.944831587524295e-07,0.3035109195091738,0.1485084880732797,1.6364881892927492,,1.814947270445558e-07,,5.998465336453867e-08,7.946981116717468e-08,7.122235966372827e-08,1.1224866001323125e-07,1.5156623569908538e-07,7.635268413740623e-08,6.432738408979918e-08,0.12096679884569528,0.2056642533036119,6.499910614691296e-07,7.342997695943621e-08
2050-07-22 00:00:00,2.374508766511247,0.325259039312778,1.0050311331667832,0.7804068093197599,0.7528130986181513,0.0623658852995094,1.3051704203719956,0.0733266895658232,0.6804281200839586,3.6261107763759e-06,7.18790177158946e-07,0.233882423085136,0.14850855341322108,1.6391812241857373,,1.8451729102405206e-07,0.0,6.010600961956143e-08,7.957809867939054e-08,7.13193066944712e-08,1.134426174729173e-07,1.52202896401219e-07,7.654865855758735e-08,6.488236429208644e-08,0.21334186277015724,0.4116117894451793,4.778572726130337e-07,7.363650647272135e-08
