country,sector,year,Curtailment,Available
BG,Onwind,2023,0.773928745017042,497001.85055129806
BG,Onwind,2030,2.017676838546648,497003.4377968644
BG,Onwind,2035,2.5392670861627633,497004.1092456618
BG,Onwind,2040,5.252859949312595,497004.55227163376
BG,Onwind,2045,2.5233379155309277,151765.0272102519
BG,Onwind,2050,0.3171374417746901,3.7318794286893544
BG,Solar,2023,0.6609936177350391,3786313.020371491
BG,Solar,2030,29.003410560592588,12355496.629223656
BG,Solar,2035,786.1658531969839,15370453.40782278
BG,Solar,2040,10079.846162125552,22651055.739918057
BG,Solar,2045,19811.965173468227,22651058.165384386
BG,Solar,2050,10098.34048984353,22651060.394416325
CH,Hydroelectricity,2023,1.5606821053041529,11903585.117926303
CH,Hydroelectricity,2030,1.0249060292832723,11903585.117926303
CH,Hydroelectricity,2035,9068.185909538068,11903585.117926303
CH,Hydroelectricity,2040,29261.83492603104,11903585.117926303
CH,Hydroelectricity,2045,18870.271205365578,11903585.117926303
CH,Hydroelectricity,2050,701.7776965125763,11903585.117926303
CH,Onwind,2023,0.3663277121007501,14656.574060307656
CH,Onwind,2030,2.9714311789638836,14656.858071546598
CH,Onwind,2035,7.358219791480311,14656.978673470538
CH,Onwind,2040,128.2552847444254,14657.050242399995
CH,Onwind,2045,32.2104887700403,8794.501372514158
CH,Onwind,2050,12.092851244287166,5276.983008621259
CH,Solar,2023,0.7870977692597817,6347270.508246636
CH,Solar,2030,4916.803271726936,7365855.416341145
CH,Solar,2035,40184.8344630358,14383469.07977535
CH,Solar,2040,123705.0631576649,21556700.450287227
CH,Solar,2045,175617.68050869394,22831360.09398972
CH,Solar,2050,78677.01868892794,22818321.51621092
CZ,Onwind,2023,0.784105778934027,501048.6007035204
CZ,Onwind,2030,4.1954655356988155,501056.00958569767
CZ,Onwind,2035,3.2999424428006225,501060.4727862268
CZ,Onwind,2040,5.145194372921144,468587.8487604055
CZ,Onwind,2045,3.177993771862166,186643.48916965956
CZ,Onwind,2050,3.1751082766364496,86275.92691453501
CZ,Solar,2023,0.6095055729549479,2395968.8664754946
CZ,Solar,2030,18.675641112774525,2395994.7623000136
CZ,Solar,2035,1350.4374589495746,5481268.377640488
CZ,Solar,2040,9106.320744450511,11555707.035022374
CZ,Solar,2045,10140.563693361752,20729121.42596794
CZ,Solar,2050,12704.28757893681,22201401.433765035
DE,Hydroelectricity,2023,1.5132679802168227,18220736.49081754
DE,Hydroelectricity,2030,1.078924191152048,18220736.49081754
DE,Hydroelectricity,2035,4618.1881363129605,18220736.49081754
DE,Hydroelectricity,2040,1.957409537468716,18220736.49081754
DE,Hydroelectricity,2045,1.7564244479174342,18220736.49081754
DE,Hydroelectricity,2050,5910.898919458514,18220736.49081754
DE,Offwind,2023,1.506425760647384,36518678.174686424
DE,Offwind,2030,34.48505891469031,363693087.7233727
DE,Offwind,2035,44754.103997154336,368829065.9453933
DE,Offwind,2040,16.492200350886716,372659520.35179794
DE,Offwind,2045,13.507891424970744,387323366.7411609
DE,Offwind,2050,5051.569711950333,373410041.7409018
DE,Onwind,2023,1.5517990449841492,100963218.01429734
DE,Onwind,2030,13.26134985108392,90883811.16840164
DE,Onwind,2035,31710.93989633107,90883840.48541534
DE,Onwind,2040,8.192035768277453,70786148.51044841
DE,Onwind,2045,15.91887300707502,106666322.14385796
DE,Onwind,2050,52066.57650890224,218619900.63101956
DE,Solar,2023,0.8214330684945895,77333437.96659966
DE,Solar,2030,130473.31356304344,77333555.46342912
DE,Solar,2035,588044.7310426144,102371075.66760723
DE,Solar,2040,247327.6435132179,149073796.60191166
DE,Solar,2045,1140482.0067407817,194317432.63471463
DE,Solar,2050,4051168.6915654894,226496429.3371019
DK,Offwind,2023,4.015179329636612,11661919.249743523
DK,Offwind,2030,5875.3475907814545,39770161.25699155
DK,Offwind,2035,540834.9051657049,84795118.31658797
DK,Offwind,2040,332263.36563940474,128584551.09266113
DK,Offwind,2045,43470.03868975199,128638168.62607412
DK,Offwind,2050,358750.51804353914,128686800.1732869
