snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34,35,36,37,38,39,40
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Methanol,CO2 emissions,Hydrogen,CO2 captured,Coal,Electricity,Oil,Centralized heat,Centralized heat,Ammonia,Decentralized heat,Methane,Electricity,Electricity,Electricity,CO2 emissions,Centralized heat,Electricity,Methane,Decentralized heat,Hydrogen,Electricity,Centralized heat,Electricity,Oil,Electricity,CO2 emissions,Decentralized heat,Centralized heat,CO2 emissions,Ammonia,Centralized heat,Decentralized heat,Centralized heat,Decentralized heat,Decentralized heat
sector,Shipping emissions,Agriculture emissions,Aviation emissions,Industry emissions,Industry CC,Methanol production,Methane production emissions,Steam Methane Reforming CC,Hydrogen production CC,Imports,Nuclear,Imports,Waste Heat,Heat Pump,Haber-Bosch,Heat Pump,Imports,Offwind,Onwind,Hydroelectricity,Transport emissions,Biomass CHP,Biomass CHP,Storage,Biomass boiler,Storage,Solar,Solar thermal,Battery,Storage,Gas,Power supply emissions,Gas Boiler,Storage,Decentral heat production emissions,Storage,Gas Boiler,Resistive heater,Resistive heater,Oil Boiler,Storage
2030-07-09 03:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298532561494,18.969681142510918,17.4322561842153,0.911026432782782,31.747394124022353,8.199109612899687,47.07372493868004,108.66419061461829,614.7934634650753,3.9968898968994497,5.816029850437459,2.4321113538148262,106.24431342824488,282.46660422688694,70.20270756738577,21.634608870421317,132.19587398224763,85.583841324245,24.980099079767218,8.177233161466551,,0.3873552441138064,0.0,7.738170226996544,,2.820584292947679,0.0,31.431057082913735,9.72398721951044,4.848218746168053e-05,2.121620551256183,1.895154539231558e-05,0.727717908251936,1.464427960245726e-05,2.060979426878615e-05,6.980179274467108e-06,1.83583832264616e-05,0.0630019051227828
2030-07-09 06:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298532636953,18.96968114196688,17.432300664051006,0.911026478290946,31.747394257885222,8.199109647471229,47.5200926371372,108.66418980327454,614.8674139266008,5.0765061013529085,6.723985851892188,3.5972500443689905,105.66094163168543,282.24238354245307,65.53544710872667,13.541471073428664,73.50629836916391,104.0190623427053,16.808038125396937,5.5021097514185975,,0.1919221895630942,0.448461099220283,166.1733600477165,1.8996225380440144,1.3863191949806486,36.25832087421417,12.645136000958361,3.91209323108532,4.3823624349013127e-05,4.111884161665056,1.7928448657944288e-05,0.0,1.5055609727518408e-05,2.143612954544972e-05,7.726327210849778e-06,1.784835213710708e-05,0.0001748496744185
2030-07-09 09:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298532694283,18.969681141480798,17.432334940614624,0.9110263845249326,31.747393666308405,8.199109494690086,48.71879674062522,108.66418742962557,615.156572804952,4.946057862851679,7.327789239186793,3.456462943946942,105.67012898378297,283.12116880016185,60.910935952862275,14.927453675815604,51.516708883472205,98.270344635386,12.521871283069496,4.099033425470536,,0.1682489544252225,0.2868132015236567,256.0753647094266,10.909408749617944,8.124517049366876e-05,13.60930959892273,8.346076377164753,2.5820725618474256,3.840435008398241e-05,3.4620921996877905,1.677151127647998e-05,0.0,1.6088143256929708e-05,2.482462089075765e-05,1.0268528456403492e-05,1.7025947173562175e-05,0.0001591511331183
2030-07-09 12:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298532751896,18.96968114081576,17.432333038059717,0.9110263827402533,31.747393662220293,8.199109493634287,49.25371463635987,108.66418730726286,616.0373067292569,4.946055728157099,7.747786830249893,3.4564607878752764,106.01448244839696,283.44214146551417,60.48108040754208,21.57435666974776,46.4920747319266,122.70513973136104,12.483928702086388,4.086612925037133,,0.1667918133345658,0.2868081929248799,257.6744664892901,10.45967585026044,7.9837035816219e-05,107.76861876511572,7.218367766137093,2.2331877369826714,3.8036547128841425e-05,3.462539139092968,1.6662941426581935e-05,0.0,1.6019080985429548e-05,2.496666850877515e-05,1.033496265237746e-05,1.6955615452384913e-05,0.0001461177351409
2030-07-09 15:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298532703633,18.969681141168564,17.432313034057447,0.9110264943682301,31.747394320282776,8.199109663586073,48.29990291457507,108.6641900181963,616.6694396710146,4.946013505898511,7.502548166999737,3.4564182912904218,106.53235709190533,284.1194453381045,77.26020673975188,31.13523286076605,78.08893830681801,108.6095026086704,15.288559127868826,5.004708439795992,,0.165635075148548,0.2867434930891689,110.37822368717943,2.06060365030199,0.0875805024706675,52.310982833862305,18.830061779718076,5.825554468347024,4.1726026654619714e-05,3.5304167663988535,1.7222956087042583e-05,0.0,1.399409996132474e-05,2.0854102890027418e-05,7.3900911201392765e-06,1.7563125181597548e-05,0.0002361734394367
2030-07-09 18:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298532886683,18.969681138200606,17.432309497910737,0.9110263517943865,31.747393683623947,8.199109499162011,50.09363466966114,108.66419034102452,614.9201830976817,4.945999647102547,7.333140683970494,3.456403802819825,102.61527216348193,282.75422786403175,106.0819991079927,40.366174457942186,100.10859033140443,43.65099323635758,33.233168347799015,10.878874635622749,,0.164313561785908,0.2867251122005285,3.9595782447407446,8.404616200635149e-08,5.919135397275026,,37.69873984584431,11.66305156240232,4.3590792211381864e-05,4.601467232838099,1.768107819852989e-05,0.0,1.40223763051993e-05,2.0258615227969093e-05,7.133186175584783e-06,1.7804340352743677e-05,1.788399352016225
2030-07-09 21:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298532810082,18.969681138916712,17.432316977678646,0.9110263479901365,31.74739368897875,8.19910950054495,55.295416952643166,108.66418991788446,614.8246846122432,4.946116051814706,7.017067628009906,3.456528531661286,99.1063505129558,282.4158591362884,122.23151725651886,46.27120416593775,69.18403895651493,15.992194841386109,23.86380891017393,7.811815675992655,,3.674272899703458,0.286876155440826,,,2.7649303227124715,,27.287358233471434,8.442030415032095,4.537077807837978e-05,4.183926927692888,1.8163173767849182e-05,0.0,1.4408614169516602e-05,2.10304333934616e-05,7.431274393566558e-06,1.7976830958949038e-05,0.0022422000613528
2030-07-10 00:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298532784983,18.96968113942972,17.432329399940592,0.9110263803635407,31.747393801912505,8.19910952971132,54.93474291489253,108.66418856065604,615.398316713386,5.076520032099328,6.83885618588986,3.5972614135231997,104.99065187014465,282.887252262392,138.1553326393195,42.82803521373981,56.80670061850403,13.747488413271762,18.778164785383215,6.147030534354068,,0.2832480766683233,0.4485041467502312,,,2.276586810815262,,20.80089208977413,6.43528036497899,4.474826261844397e-05,1.300331844201502,1.823031216814743e-05,0.0,1.586092085220667e-05,2.3968307420640005e-05,9.220316989653185e-06,1.773598373515725e-05,0.0005850907215329
2030-07-10 03:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.452985327564505,18.969681140291474,17.432328885383033,0.911026586241764,31.747394603401165,8.199109736704475,51.27452205468663,108.66418881286894,616.4369265003011,5.081126581673914,6.914229418587976,3.6022329497284606,108.41241996124351,283.8166621417364,148.81209259683214,41.0132077944738,61.19257801921824,84.3149062507398,19.541271787936672,6.39683354222451,,0.4182672376906439,0.4542111971145814,7.896332662047431,,2.5307027359083,0.0,24.04395910942793,7.438604221734422,4.5881198582824206e-05,1.248143989507137,1.853969847959238e-05,0.0,1.60417774885717e-05,2.4150522568972067e-05,9.214303242976369e-06,1.7892657826392755e-05,0.4311051826447079
2030-07-10 06:00:00,16.056456629421803,2.698889859646953,21.56339385039261,48.45298532756992,18.969681140790094,17.43233526773041,0.9110264736187532,31.747394060799092,8.199109596571594,50.192379664002885,108.66418598550777,616.8737797351712,5.076537270216576,7.289576266320593,3.5972789031449284,109.70760036863828,283.9349960459923,149.32798201723324,40.11347174091755,28.8154735141216,104.6654752081956,15.143915102066034,4.957359231106879,,0.1771816074942794,0.4485249186499538,156.95420377746993,1.955889985488692,1.264018512591508,36.76620071506501,13.0886107118289,4.049294223012594,4.0743613518260554e-05,5.163736096957264,1.7764070609214515e-05,0.0,1.8475069539857778e-05,3.204459416176576e-05,0.1584636791476802,1.726063690614058e-05,0.0776197056674466
