config,cost_segment,cost/carrier,2023,2030,2035,2040,2045,2050
net_imp_nl,Net_Imports,gas,0,0,0,0,0,0
net_imp_nl,Net_Imports,total,597428898.7244401,-1391922674.2360923,-3295693310.2012506,-4129774414.964119,-5893353384.250079,-6995331795.256662
prod_lu,Energy production,capital,184552294.0156064,229597432.23546627,239643948.55151084,300271280.2875898,393237488.180349,420103077.6536206
prod_lu,Energy production,marginal,17409030.374184117,718866285.5474185,744089579.1530532,694054241.9709446,552638042.7233307,503043700.9523738
prod_lu,Energy production,total,201961324.38979053,948463717.7828847,983733527.704564,994325522.2585344,945875530.9036797,923146778.6059945
sto_lu,Storage,capital,458658732.9053118,533560751.0680314,533542245.7788366,533569971.37623936,533614562.99732393,533633949.7382588
sto_lu,Storage,total,458658732.9053118,533560751.0680314,533542245.7788366,533569971.37623936,533614562.99732393,533633949.7382588
distr_lu,Distribution,capital,44548525.32554416,85736697.76853122,94422328.47015013,99513575.94777311,122146615.26842569,129925904.84411164
distr_lu,Distribution,total,44548525.32554416,85736697.76853122,94422328.47015013,99513575.94777311,122146615.26842569,129925904.84411164
net_imp_lu,Net_Imports,H2,0,0,26149420.868268117,78843905.06716804,60724049.310295306,57572666.47342189
net_imp_lu,Net_Imports,elec,280959001.78743446,462928422.85275066,509866770.19352114,548383115.1651793,713787531.1175923,716616076.7096922
net_imp_lu,Net_Imports,gas,147873120.85170788,121607895.55751634,128965685.6689508,107066875.76857293,72060266.94369611,49789588.14249818
net_imp_lu,Net_Imports,total,428832122.63914233,584536318.410267,664981876.7307401,734293896.0009202,846571847.3715838,823978331.3256123
