countries,carrier,2030,2030_std,2035,2035_std,2040,2040_std,2045,2045_std,2050,2050_std
RO,gas,24.999998064243467,8.819707350029281e-07,24.99999927343673,1.5086117240228266e-08,24.9999983877999,4.264560697917451e-09,24.99999819979944,1.599836567899837e-09,24.99999686624436,6.623773424454051e-10
RS,gas,30.912549737475864,1.5540971625817943,29.655389602342133,0.0332043790725297,29.647577730182007,0.0852307842191337,29.405332465397535,0.0804294947155324,27.48333983360298,8.424219656098782e-07
SE,gas,27.220149514846256,0.943665511915006,26.38993476030314,0.0634934443700515,25.72386835720112,0.5915788697157077,25.00000279605626,2.1264799208062037e-06,24.99999801692309,6.614494932759548e-07
SI,gas,28.993095292229555,1.0604613723745886,28.155308520617208,0.0642832958482507,28.177266157918467,0.0856141235166508,28.087413419276217,0.1200692808107756,27.83486389639948,0.1378956508007946
SK,gas,24.999998448625032,5.44280365622728e-07,24.999999388765104,2.755396323782648e-08,24.99999923863215,2.18458943829066e-08,24.999999103394767,4.055948575449902e-09,24.999997951793453,4.619814868642822e-09
WL,gas,26.48277974192842,0.1813266364655422,26.472746797150776,0.1992192334558,26.460986928706102,0.2115961768733572,26.3945008944967,0.1752708176525539,26.36026631146476,0.149222346767805
AL,elec,69.34329406446108,16.719326551813687,66.88454051113483,22.838198332693977,65.03519506348704,28.317947747961483,67.82121996131337,39.66634032362392,69.63216529153894,47.046515386277946
AT,elec,67.99165241368887,16.55857782367178,67.06721601544527,21.59140394325227,67.31804493125102,29.041293743337405,73.43232624925709,41.51839698831298,76.58566416734713,52.11850593566987
BA,elec,69.73163121426072,15.978513049926006,67.80189402368241,21.29176469737872,66.27062461004249,27.34031346974229,69.90975495407574,40.217544651531625,71.43752405388908,48.28870779952387
BG,elec,68.88446570683975,16.602048492241867,66.30502008746438,22.82405918658328,63.98201018842892,28.633824317270147,67.47191140637015,39.13891776278356,68.83410339800443,45.998969836426085
BX,elec,59.31486843095149,22.14681921973216,59.09803874181308,27.803500770956106,62.85985482732581,51.372908146962594,66.6737668055472,53.788724710510095,67.62763368278335,61.699849107350296
CH,elec,62.610343671498214,21.16642543189833,61.40609333136766,25.697558160872585,61.68407132938802,28.841718017193177,65.47405239949886,38.4625440279206,68.27869494082941,44.906658352250005
CZ,elec,64.6640071346801,18.72142997556833,64.32848037665907,23.68349485839089,66.20418824817521,32.58422238468917,72.52338805440336,46.03507299655228,75.59945155762888,59.81106638761808
DE,elec,60.72843586209526,22.36513853500319,60.64394822554318,27.0420483976545,64.15490607874712,37.03128688385676,69.40415622928893,50.04708764926417,73.18472329615093,64.2975555024026
DK,elec,50.009108224443466,17.35173829398586,44.9985823842123,22.511297020514945,45.94312389397192,32.03046954059753,50.69886452050824,40.5956815626869,53.77490989249912,52.92279133099183
EE,elec,61.14440099677875,16.61560681627545,53.262919523569735,20.343862928583263,47.243218630112885,23.24547868388016,52.004942120654185,31.63826148205377,58.33677310792454,47.931035827535176
ES,elec,55.36907002073509,26.87910960055045,60.971296561954176,30.45893300605996,63.91874827963772,31.890665136979933,69.21684549025801,31.908936013604873,67.43242927475039,35.36289053130009
FI,elec,49.10953527254376,9.720341803958664,45.407156144531186,12.263456306272442,45.031984086613626,13.821452988825977,50.34856412298944,19.019897581136885,49.366396613894885,19.153994894844857
FL,elec,59.35337320020453,22.16593265039707,59.079053048938725,27.82530418716817,62.69396919068929,50.86374573773713,66.57245327540551,53.7014355007203,67.53858591567483,61.67605359880644
FR,elec,54.81027736437187,19.934971295428895,54.04511564628138,23.86459969319166,51.501401673185725,26.85382172863698,50.555417783706666,30.5191066647516,50.159452098478326,27.809811896994976
GB,elec,53.34648143500981,30.571231838036223,51.21118671436764,33.37335669236846,51.17594421693674,36.25213931076864,56.12443363933234,49.08115354036307,56.985202945313766,80.86415546035441
GR,elec,66.58306603489778,21.059430665972865,64.328906229727,26.146701598232184,62.38865859267072,30.498134341211102,64.96684464107149,39.366315989033495,67.35535933324913,45.10560997245043
HR,elec,69.22153581733772,16.067664778280044,67.57154519281723,21.288451542544532,66.33154501649283,27.473895165666853,70.77396222042549,40.90945727354251,72.3055082327002,49.26928610416565
