country,carrier,2030,2040
SE,PHS,0.092,0.092
SE,air heat pump,0.9727161844619046,1.0718885076205802
SE,battery charger,4.886331283163734e-06,8.233695425164027e-06
SE,ground heat pump,0.5553464688295096,0.2805128788383409
SE,home battery charger,0.098599243238647,0.0986108384297337
SE,hydro,10.78418662493251,10.78418662493251
SE,water tanks charger,8.01921091448799,4.60759175306867
SI,BEV charger,1.98914144,4.475568239999999
SI,H2 Fuel Cell,5.725162188965164e-07,9.744617433641748e-07
SI,PHS,0.18,0.18
SI,air heat pump,0.0516275513387489,0.057441024279621
SI,battery charger,4.359652773573059e-06,7.940694220881365e-06
SI,ground heat pump,0.0435231681511946,0.0631120631815962
SI,home battery charger,0.0216814586690629,0.1605979138795908
SI,hydro,0.118,0.118
SI,water tanks charger,1.472552699579006,1.3386702762279636
SK,BEV charger,3.5808502399999997,8.05691304
SK,H2 Fuel Cell,5.993883273075018e-07,1.0075264323514283e-06
SK,PHS,0.822453,0.822453
SK,air heat pump,0.1127540578297643,0.1330186492932509
SK,battery charger,4.43712242115647e-06,7.950853869811113e-06
SK,ground heat pump,0.0997373428708821,0.1253618647683655
SK,home battery charger,0.0882024106198231,0.2622170011759259
SK,hydro,0.2419,0.2419
SK,water tanks charger,3.670690071206131,2.9706626784881367
