countries,carrier,2030,2030_std,2035,2035_std,2040,2040_std,2045,2045_std,2050,2050_std
LT,elec,61.09893137211544,16.58380839612683,53.62618276875736,20.0206555373848,49.33828322011216,22.60000261465294,54.37766412840463,31.175417968963483,58.42479549364765,46.22532765059912
LU,elec,60.199365942931664,21.850261162332696,60.17640932639554,26.72764092137511,64.43887169178474,40.91896274221233,70.62515860612586,53.398794699985515,71.2913457393136,62.774236889783985
LV,elec,61.09893144414066,16.5838082195926,53.62618271510964,20.020655390603913,49.33828290057323,22.600002458863415,54.37766393351429,31.17541781174844,58.42479570587939,46.2253275413632
ME,elec,69.84391906673717,16.042455060332397,67.67360588623838,21.76860347065732,65.84348090014146,27.168004066196104,69.33185853247117,40.024681223430115,69.5007819831229,45.96050827578821
MK,elec,68.41466280747439,18.18824059247907,65.7304613316915,24.22937853744417,63.884892937030656,29.511530822004353,67.45061979765066,40.47480199862548,67.80551273746318,45.81472359082855
NL,elec,59.5137482368,22.657350987598416,57.34195885765922,29.17114347990003,59.53445101302196,43.66708028626012,64.23172373946029,55.29133759478151,61.83588574743321,62.56903897845272
NO,elec,46.136007711566165,4.911462158833292,43.56679114591318,7.179466165799481,45.12637831589481,8.385628702107711,48.98591379612139,9.88373240839086,49.01841458564411,11.767780425037852
PL,elec,64.3901095068593,20.552313889265697,62.730092962437304,24.623466410238876,62.714483216729505,33.464200846836654,68.08524197478026,50.98524087527469,70.71170714594419,61.22804038308431
PT,elec,63.645418554587366,18.75442378387625,64.81832494328656,25.32258299551682,63.519678117309006,28.482608269295216,62.1209448250509,31.500193087990993,59.69179128878641,33.65066395455779
RO,elec,68.99663814454773,16.330654348143632,66.43994338021106,22.417591070633065,64.41273360144199,27.51755200274674,68.47491721074135,39.56612734422264,68.56071513783257,45.31227010805198
RS,elec,69.63007175502837,16.141298121637515,67.31693589037825,22.01905018441173,65.51339339098514,27.351198210961115,69.05401600846825,40.30242438372944,69.25215731403074,46.11917053867535
