snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32,33,34
carrier,Oil,Electricity,Decentralized heat,Methanol,Centralized heat,Electricity,Oil,Methanol,Oil,Hydrogen,Oil,Solid biomass,Methane,Methane,CO2 captured,Electricity,Methane,Hydrogen,Electricity,CO2 captured,Electricity,Oil,Hydrogen,Electricity,Hydrogen,Decentralized heat,Centralized heat,Electricity,Methane,Methane,Solid biomass,Methane,Centralized heat,Oil,Decentralized heat
sector,Industry,Industry,Agriculture,Shipping,Industry,Agriculture,Aviation,Industry,Agriculture,Industry,Shipping,Industry,Industry CC,Hydrogen production CC,CO2 sequestration,Residual electricity consumption,Hydrogen production,Methanol production,Methanol production,Methanol production,Decentral heat production,Transport,Transport,Ammonia production,Ammonia production,Residential / Services heat consumption,Residential / Services heat consumption,Transport,Decentral heat production,Storage,Central CHP production,Power supply,Storage charging,Decentral heat production,Storage charging
2040-12-07 21:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083862836,1.5144585105186394,0.9061438570896334,0.6180342042574182,2.497458374525052,0.7107556262683244,0.2630924763066216,0.0626383501586767,0.0573347285361544,1.1810201681880395,0.976124249431,0.2652400447405979,0.1068808150886231,0.4963280551871202,6.0272252519848495,1.4881589591053406,5.714537026937901e-07,4.215803032231791,1.9705031641775856,0.8454845826313595,1.2303399109709365e-06,1.4752777267076e-06,4.75348364886583e-07,1.256676948843742e-06
2040-12-08 00:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083868986,1.514458510548477,0.906143853806189,0.6180339406230129,2.116274941076873,0.7107556205398711,0.2630935395218411,0.0626386032941831,0.0573349602385461,1.1810223092596628,0.40988486227,0.1113770908471596,0.1068811240008243,0.4963294896989352,5.011364678430925,1.2373367398364794,0.8478472209025583,3.1960043589601566,2.5542103835425225,0.5449650943757371,9.990331530774783e-07,8.149557300208841e-07,4.754629113323639e-07,1.2732383219854292e-06
2040-12-08 03:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083800567,1.5144585111822744,0.9061438537314258,0.6180341057832102,1.8492963366832995,0.7107556203560833,0.2630935781352304,0.0626386124874487,0.0573349686534131,1.1810226652665794,0.418235451773,0.1136461777330127,0.1068811581901388,0.4963296484656508,7.880627299947866,1.9457753160835456,1.8040844711105752,6.429088804587473,0.0,0.9971268266978768,9.97952039056579e-07,6.401868975285943e-07,4.750205662556148e-07,1.2029378923911416e-06
2040-12-08 06:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083644457,1.5144585122957628,0.9061438533228606,0.6180339125308933,2.08491168075418,0.7107556192312766,0.2630935858953988,0.0626386143350277,0.0573349703445566,1.1810226244881403,1.25262936985,0.3403741586130425,0.1068811583773516,0.4963296493350205,7.946202828921108,1.9619663172258153,1.3309675146312645,6.512640733316617,0.0,0.9971268420380284,9.96822890641296e-07,6.414323959877943e-07,4.755403603981734e-07,1.1962652099956135e-06
2040-12-08 09:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083449812,1.514458513721545,0.9061438439713052,0.6180341671803037,2.5166324527028543,0.710755601846389,0.2630942936826173,0.0626387828484883,0.057335124589895,1.5783592021449264,3.0498347058099995,0.8287247184884845,0.1068812258241768,0.4963299625413858,7.067806917169245,1.745084967837958,2.0079549001500236,5.737914853518097,0.1505427226713218,2.1291403114539655e-06,6.654650758568278e-07,6.343181215087769e-07,4.768025844897153e-07,1.255144952567784e-06
2040-12-08 12:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083463722,1.5144585137031612,0.906143843641109,0.6180340232818959,2.440345207376898,0.710755601266698,0.2630942992118527,0.0626387841649158,0.05733512579486,1.5789864318917937,3.55186871669,0.9651412900330412,0.1068812265874954,0.4963299660860485,6.806878161607639,1.6806600543756087,2.2578230896989493,5.2932171534738135,0.0,2.0895933312773795e-06,6.617080746798869e-07,6.365464491860311e-07,4.768020009013681e-07,1.258319446202472e-06
2040-12-08 15:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083696738,1.514458512603272,0.9061438501981453,0.6180343468624855,2.6317061956058536,0.7107556133730706,0.2630939108381275,0.06263869169899,0.0573350411580721,1.2548046772460335,3.54141615266,0.962301038341919,0.1068811860055798,0.4963297776336753,7.3197636650236335,1.8072946374538528,0.9486901683802326,6.277429565744902,0.0,1.7501451576090077e-05,8.64755952109629e-07,6.51056535815374e-07,4.755802753174554e-07,1.2377380681180697e-06
2040-12-08 18:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083785216,1.5144585124217853,0.9061438504981418,0.6180339272753435,2.6742923072902114,0.7107556138885577,0.2630939095641628,0.0626386913956782,0.0573350408804419,1.2381104080165437,2.2129611504899995,0.6013229513628219,0.1068811859572019,0.4963297774090202,7.347505949907622,1.8141443781006892,0.9227980419592732,6.378261051743246,0.0,1.7362756421685712e-05,8.656289127272273e-07,6.521482522009097e-07,4.752285974064927e-07,1.2224604736525883e-06
2040-12-08 21:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083819086,1.5144585125390924,0.9061438516602144,0.6180338715520072,2.5411843790944473,0.7107556161211629,0.2630938296111776,0.0626386723600785,0.0573350234565962,1.2291641037492094,0.8170599914259999,0.2220178720157302,0.1068811800264308,0.4963297498679868,5.171140119844355,1.2767862783295207,1.0648482889925353,3.7054249955935843,1.9833834780129256,0.0001383176087506,8.969909027235939e-07,6.550033178287923e-07,4.756503618962701e-07,1.265219557523524e-06
2040-12-09 00:00:00,2.7945205479500004,4.628995433789954,0.4514719951500935,6.701979758219999,0.1723744292237443,0.0955762898401365,1.2651071151800002,1.8139269406400005,0.132245381861,0.2248858447488584,3.30311859512,0.8378994083804172,1.514458512823289,0.9061438525905056,0.6180339158160051,2.12942308234676,0.710755617865769,0.2630937215350139,0.0626386466287741,0.0573349999039747,1.1810266345598728,0.411497767521,0.1118153619598446,0.1068811613974866,0.4963296633597802,5.0333480976380525,1.242764581152694,0.1808857359971684,3.1731141415399517,2.556735924423206,0.5389360272182451,9.367653685380675e-07,7.176868554930835e-07,4.757321373372605e-07,1.2711518392352406e-06
