snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31,32
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,CO2 captured,Hydrogen,CO2 captured,CO2 emissions,Hydrogen,Decentralized heat,Methanol,Centralized heat,CO2 emissions,Electricity,Methane,Centralized heat,Ammonia,Electricity,Electricity,Decentralized heat,CO2 emissions,Centralized heat,Electricity,Centralized heat,Methane,Electricity,Decentralized heat,Centralized heat,CO2 emissions,Electricity,Decentralized heat,Centralized heat,Decentralized heat
sector,Shipping emissions,Aviation emissions,Agriculture emissions,Industry emissions,Industry CC,Steam Methane Reforming CC,Hydrogen production CC,Methane production emissions,Steam Methane Reforming,Heat Pump,Methanol production,Heat Pump,Transport emissions,Offwind,Imports,Waste Heat,Haber-Bosch,Onwind,Solar,Gas Boiler,Decentral heat production emissions,Biomass CHP,Biomass CHP,Gas Boiler,Storage,Hydroelectricity,Resistive heater,Resistive heater,Power supply emissions,Gas,Oil Boiler,Storage ,Storage
2040-12-20 06:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.934397189657439,0.7412808572571896,0.5464159450382201,0.1411179448827596,0.1585094478518583,0.5454801889499143,5.266955243855139,0.2317786511832283,0.8792171298539935,1.696260197618899,7.08153156049484,15.215959796370994,0.8376173456187874,0.8789528132517077,1.9382636741203416,0.2579351271252397,12.652960408577592,3.0809394424301293,0.0596392863333829,0.0194815461206553,2.704528471013997,8.605578130680108,0.033717964596378325,0.8518707102399375,0.1899232261546772,5.925858916920751e-07,1.4194409384167353e-06,1.0574486594450966e-06,1.013151953349062e-06,1.989694275706741e-06
2040-12-20 09:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.934397189159948,0.7412808578599639,0.5464160358483204,0.1411179684717524,0.1585094973267633,0.5454803677337122,5.4090749162317495,0.2317795858589812,0.9082345084757107,1.788291580896937,7.079195619951598,15.13414709002958,0.837618083109,0.8789534489975463,1.6544186233344358,10.937044099197692,9.226529102586076,2.2130670576566587,2.122729138360517e-06,6.904692062199901e-07,1.801254399531513,0.0,0.03371915661994061,2.0097816973769915,0.6065648471645992,4.2965648693728156e-07,8.435033786157655e-07,9.562912695679926e-07,1.0013204533584296e-06,2.0959773786343237e-06
2040-12-20 12:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971891450535,0.741280857874629,0.5464162593375401,0.1411180265420235,0.158509607178636,0.5454807623454846,5.667797034820404,0.2317794694649109,0.96120485485171,2.1843579536587328,7.080905002993497,15.114869874942752,0.8376179571088496,0.8789533407267743,1.7834277696463614,8.373429037642387,8.048073379974575,1.93228917832363,2.019036127163822e-06,6.56749470679416e-07,1.5832876275657848,0.0,0.033720039338301915,2.251434435684106,0.6065702966047073,4.231509878666796e-07,8.239420587133208e-07,9.724511201481638e-07,9.66688035071062e-07,2.0494662772266707e-06
2040-12-20 15:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971895813756,0.7412808573289916,0.546416267134891,0.1411180285708701,0.1585096131940192,0.5454807844068996,5.523194226612432,0.2317788539838278,0.9311060699245244,2.0566328503372633,7.083971699419749,15.060198596113985,0.8376174589807974,0.8789528786829548,2.449924086819363,,10.927417478947469,2.5679408851564314,4.748809625309125e-06,1.5444865929026407e-06,1.851225916224842,6.189111162713253,1.3417217168735207,0.4568429856888769,0.5974984769720282,5.025789544070547e-07,1.0809562434187107e-06,1.0039775429936784e-06,9.661083660594035e-07,0.0001176331785026
2040-12-20 18:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971890577987,0.7412808578810712,0.546414803630632,0.1411176483527331,0.1585085893892235,0.5454770356554055,5.392957212165629,0.2317798412956466,0.9041106608193952,1.1336910599818697,7.083999839426813,14.933496334745003,0.837618361940866,0.8789536672242586,3.478736319152789,,10.901007816218264,2.559663396186988,2.290538764531304e-06,7.449406057210216e-07,1.835915101590844,1.712022687623979,0.03372535807325209,0.4373945699734193,0.5969430564807288,4.395899115001978e-07,8.749427340269601e-07,9.992466278245266e-07,9.509468230719316e-07,2.2459613330341087e-06
2040-12-20 21:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971891414773,0.7412808577691288,0.5464146020730126,0.1411175959920144,0.15850835233802252,0.5454761516864252,5.383050481996009,0.2317798954537052,0.9020424584422696,0.5305176094209274,7.083999763664348,14.741056897825889,0.8376184134676045,0.878953710018572,3.9889297499812018,,6.376123318651361,1.4220351309912163,2.033096197651068e-06,6.612261721498283e-07,0.6863077748668744,,0.03372664981901799,0.1589466790542532,0.5777920334603779,4.250658516583651e-07,8.306881812252851e-07,1.0032472982489178e-06,9.109192290125428e-07,1.7505972055808545e-06
2040-12-21 00:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971891270029,0.7412808577848274,0.5464145948177546,0.1411175940951319,0.1585083535751707,0.545476157266271,5.398946668548856,0.2317798951291109,0.905115213694308,0.2408637696497932,7.083999763664343,14.64670288030296,0.8376184137675299,0.8789537102563382,4.073036652012356,,5.419145637013348,1.182975601751919,2.0744205693339126e-06,6.746916892944819e-07,0.4511605491225319,0.0,0.03370005208483405,0.1570478283490838,0.5777834213590294,4.255043020452405e-07,8.318604112695941e-07,1.00693962593471e-06,9.30822596929618e-07,1.7467060671923485e-06
2040-12-21 03:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971889481724,0.7412808580041517,0.5464145885628502,0.1411175924699705,0.1585083448219878,0.5454761245082573,5.452478646786621,0.2317799095315666,0.9157294904023524,0.3966478645002046,7.083999763664336,14.698064984274176,0.8376184287718942,0.8789537245558856,4.07474055944927,,11.130422522167851,2.615398983595616,1.945790977035993e-06,6.328168729083334e-07,1.8839786886826144,4.593396673487912,0.03352394894908434,0.3877231791645816,0.5908327021642495,4.1976345114912673e-07,8.147814297744814e-07,9.95857277994653e-07,9.418151551922818e-07,1.7018703826445947e-06
2040-12-21 06:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.9343971886331643,0.7412808583954931,0.546414696814452,0.1411176206063854,0.15850845868431282,0.5454765478891752,5.483721194674546,0.231779951563021,0.9220078170099496,1.0890561371596217,7.083999594926627,14.67485986547052,0.8376184593446138,0.8789537570731545,4.13075166900755,0.12474638491330459,11.193579256539982,2.635464591022528,1.6545604330381245e-06,5.381019457402768e-07,1.9219592585792244,0.5890633732302386,0.03331483701345173,0.4303459182824499,0.5798608683456731,3.98393566040987e-07,7.530852886728839e-07,9.969902269130366e-07,9.43671046693282e-07,1.689112035263123e-06
2040-12-21 09:00:00,2.5340539671981746,0.5793962900451491,0.060566004812164,1.934397188235358,0.7412808588922924,0.5464146847704525,0.1411176174752497,0.1585084382898421,0.5454764713924662,5.516017358428615,0.2317799589331275,0.9290148684818236,1.7292935930902684,7.083999840304801,14.546390803093548,0.8376184633710593,0.8789537618673485,4.114904189187252,3.1116522896726346,8.95939292362165,2.0916024418981136,1.6048655590364836e-06,5.219570025745984e-07,1.448162729055235,0.0,0.03328296643376174,0.796778016056662,0.6007630453653614,3.954033148240773e-07,7.441840715329321e-07,1.0077608238485106e-06,9.228482432790864e-07,1.6982259893674391e-06
