country,sector,2030,2035,2040,2045,2050
BG,Micro gas CHP,1.074343734745351e-07,1.537397600950654e-07,2.0102749160550457e-07,2.2211466379107858e-07,2.4645093938557316e-07
BG,Nuclear,2.0800008860280963,3.0000000340287625,4.0000000132914995,4.000000291182983,4.000000705891163
BG,Offwind,2.0350731760646527e-06,3.2395795237356687e-06,4.3186571948801115e-06,5.686766667955226e-06,1.505039314690692
BG,Oil,1.0203359760187606e-06,1.4968804816223996e-06,2.0414376350002485e-06,2.259441605513254e-06,2.4876103363937144e-06
BG,Onwind,0.6910019235615371,0.6910026786358131,0.6910039423968484,0.2110046084829782,5.679814052708272e-06
BG,Solar,9.46357677262817,10.474723528952392,13.109008974411694,17.655954312495773,17.65595684683021
CH,Battery,9.244501843253908e-06,1.5034229821689486e-05,2.5352832190457777e-05,3.1604935797228564e-05,2.9735731528000653e-05
CH,Biomass CHP,0.4883943709532782,0.6251029282167585,0.7567364406001955,0.8593758736622018,0.8593780710082078
CH,Biomass CHP CC,1.921746141355444e-07,2.715595856509328e-07,3.504740773750815e-07,4.868285114301411e-07,0.1005365973045753
CH,Coal/Lignite,7.965362258146112e-07,1.1066279980241909e-06,1.43651227429363e-06,1.5786427927873703e-06,1.730132904178444e-06
CH,Fuel Cell,2.991781131129071e-07,4.313477633991095e-07,5.696971040866593e-07,6.398780929365257e-07,7.272814279471473e-07
CH,Gas,2.695531161559018e-06,3.898234543345416e-06,5.175423243318437e-06,5.723601217632789e-06,6.317451909714069e-06
CH,Gas CC,1.0912018792157365e-06,1.556646310457942e-06,2.037216417842677e-06,2.2710112480596706e-06,2.5360608974484875e-06
CH,Gas CHP,1.1689218470201309e-06,1.7542183258707627e-06,2.4269924043684684e-06,2.698310803271894e-06,3.01544187364105e-06
CH,Gas CHP CC,5.424711118505783e-07,7.813149494116565e-07,1.0495549906502723e-06,1.2776686618993432e-06,1.514488437881306e-06
CH,Hydroelectricity,19.45666,19.45666,19.45666,19.45666,19.45666
CH,Hydrogen turbines,1.3534432493594553e-06,1.975252658783729e-06,2.6729456901157964e-06,2.9858280470196178e-06,3.3705445051303653e-06
CH,Micro gas CHP,1.0529922663374683e-07,1.510555464682079e-07,1.979379303318596e-07,2.1950297652545985e-07,2.444199066341605e-07
CH,Nuclear,2.970000702478905,2.970001059670885,2.9700015761157004,2.97000185253887,2.9700022724987987
CH,Oil,1.018469168822207e-06,1.4947257311220495e-06,2.0389318450982383e-06,2.2569380463434076e-06,2.4850245490984192e-06
CH,Onwind,0.0750012854365209,0.0750018270812482,0.0750025149974761,0.0450028655317153,0.0270033282047096
CH,Solar,6.556193801308249,12.64118228667003,19.66808056757925,21.229420502851653,21.21742442255503
CZ,Battery,9.145822905795506e-06,1.4677116776647527e-05,2.4206727943580213e-05,3.2669254262903214e-05,0.0022124844477963
