snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30,31
carrier,Decentralized heat,Methanol,Centralized heat,Electricity,Oil,Oil,Electricity,Oil,Oil,Hydrogen,Methanol,Solid biomass,Methane,Methane,CO2 captured,Electricity,Methane,Electricity,Oil,Hydrogen,Decentralized heat,Centralized heat,Electricity,Hydrogen,Electricity,Methane,Methane,Solid biomass,Methane,Centralized heat,Oil,Decentralized heat
sector,Agriculture,Shipping,Industry,Agriculture,Aviation,Industry,Industry,Agriculture,Shipping,Industry,Industry,Industry,Industry CC,Hydrogen production CC,CO2 sequestration,Residual electricity consumption,Hydrogen production,Decentral heat production,Transport,Transport,Residential / Services heat consumption,Residential / Services heat consumption,Ammonia production,Ammonia production,Transport,Storage,Decentral heat production,Central CHP production,Power supply,Storage charging,Decentral heat production,Storage charging
2040-06-19 00:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717316524,1.8188728374707548,0.6787246621114067,0.6272595856341808,2.1798549348842227,3.784937828379959e-06,0.3139861087842474,0.442720422,0.0496818428678812,0.9909929830272006,0.2446822583272125,2.540270183583975e-07,1.179638608502967e-06,5.190624305923101e-07,0.0,1.2352273980013753e-06,4.815675414827769e-07,1.6206292288832929,6.249364269336312e-07,2.3765893169934313e-07,1.014023790150946e-06
2040-06-19 03:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717377483,1.8188728374652028,0.6787253746776563,0.6273906299529165,2.5260338654135572,0.0936849658042614,0.439231214842679,2.9333978169499995,0.3291842936731306,0.9915580363550356,0.2448217734667724,1.754277309376212e-07,8.146429688991676e-07,5.792585032739104e-07,0.0,1.2387875572918022e-06,4.817822583225926e-07,1.6206288779256588,6.174459209900026e-07,2.3790152017410735e-07,1.1021761896825035e-06
2040-06-19 06:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717464461,1.8188728374628085,0.6787254241173247,0.6273897268041478,3.101050502422842,0.0936854969761891,0.4271340789537913,3.4551645040300007,0.3877366650402181,0.9914129096628316,0.2447859407944931,2.1145520283695106e-07,9.819456325837226e-07,1.487146597459349,1.028145917474729,1.1658760165766513e-06,4.4503696352258763e-07,5.414665350536088e-06,6.138345340426362e-07,2.286015540490142e-07,1.4385836119227094e-06
2040-06-19 09:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717647648,1.8188728374554968,0.6787253950692548,0.6272585306805569,3.2935189514982475,0.0936852033783025,0.5329012547520662,3.3968641575300005,0.3811942321417154,0.9912770966909944,0.2447524077370158,5.120884015788586e-07,2.3780118090301708e-06,3.478148436704128,0.9692355290972774,9.32842787897926e-07,2.767846142817898e-07,9.21287133930767e-07,2.1975534753444725e-06,2.006734647854736e-07,8.739305185599239e-06
2040-06-19 12:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717648596,1.8188728374557752,0.678725395207436,0.6272584199647366,3.1418444855728933,0.093685188973726,0.5233288067080853,4.24056966992,0.4758744018617216,0.991269345563345,0.2447504939359594,4.520574176703751e-07,2.099242775789158e-06,1.9603363819208992,0.9619611775882658,9.27737113249834e-07,2.743002332746309e-07,9.217079878377089e-07,3.201746695733388e-06,2.0031763689899925e-07,1.990624981914379e-05
2040-06-19 15:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717566372,1.8188728374662015,0.6787254069174827,0.6272596769964744,2.944939704062504,0.09368531732681,0.5188326520860115,3.70862566131,0.4161799370548054,0.9913551771660786,0.2447716862862106,4.474560508532261e-07,2.0778751670030128e-06,2.790455248231997e-07,1.0142534703827986,1.0576524431051498e-06,3.8280020009940387e-07,1.854783028587859e-06,6.386868391127408e-07,2.1331028913126585e-07,1.9219311068018973e-06
2040-06-19 18:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.839040971756672,1.8188728374684515,0.6787253744336836,0.6273898658045188,2.7027220261929426,0.0936850287257629,0.4140930502465932,1.5166349120799998,0.1701959377646226,0.991210962337784,0.2447360787587349,2.2703783586643165e-07,1.0543075240962803e-06,1.2704157546125004e-07,0.2155119905488245,1.1700182905721605e-06,4.852451285584574e-07,0.7978063484817364,5.829721417391244e-07,2.2738068489019778e-07,1.028886991352006e-06
2040-06-19 21:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717418756,1.8188728374757153,0.6787251032461289,0.6272594415445234,2.4287102266428966,0.0001635484470323,0.4318424065535312,0.547282102092,0.0614156972422075,0.9908597528858928,0.2446493629864677,0.0199528850598901,0.0926562604236874,2.646674079547688e-07,1.10510464453655,1.0960263789904078e-06,4.004691336772366e-07,1.927737348748127e-06,5.757256201931965e-07,2.1796115477915425e-07,1.761356553165632e-06
2040-06-20 00:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717366515,1.8188728374764391,0.6787253485928731,0.6272599577252925,2.20706627453497,0.0936846653556865,0.5266429132060816,0.4478836815799999,0.0502612610251868,0.9901884707470184,0.244483619300561,0.0409619719345277,0.1902172606939414,0.8340304403150383,1.0113348739209758,1.0002740332721092e-06,3.184365033017933e-07,1.0663724108870397e-06,9.330825736590702e-07,2.0765682281363585e-07,4.044520069568446e-06
2040-06-20 03:00:00,0.4514719951500935,6.701979758219999,0.187214611872146,0.0955762898401365,1.2651071151800002,4.006849315070001,4.6506849315068495,0.132245381861,3.30311859512,0.1700913242009132,0.615296803653,0.8390409717354098,1.818872837471434,0.6787253947005142,0.6272592370300677,2.531451691793979,0.0936851805203938,0.4862022743180784,2.8534713149600006,0.3202149854691617,0.9901884707470184,0.244483619300561,0.077703005824244,0.3608335296747347,2.1493441404061135,1.013534219646579,1.0048722616734553e-06,3.1780605663464833e-07,1.0449854343461907e-06,9.341487517856956e-07,2.0812909086860315e-07,3.0847221774717645e-06
