country,sector,year,cfs
BA,Biomass CHP,2045,0.2996397133785523
BA,Biomass CHP,2050,0.2789471703096864
BA,Biomass CHP CC,2023,0.7936858070586351
BA,Biomass CHP CC,2030,0.354607883999072
BA,Biomass CHP CC,2035,0.1394723060846806
BA,Biomass CHP CC,2040,0.1048475795121919
BA,Biomass CHP CC,2045,0.3997095119830766
BA,Biomass CHP CC,2050,0.4139439813421535
BA,Central heat production,2023,0.1682654474679378
BA,Central heat production,2030,0.2820059535882722
BA,Central heat production,2035,0.3911719426422492
BA,Central heat production,2040,0.4338757837780688
BA,Central heat production,2045,0.4037035459597204
BA,Central heat production,2050,0.3698786367563533
BA,Compression losses,2023,0.002424555475765
BA,Compression losses,2030,0.2928889759503715
BA,Compression losses,2035,0.3216629127672603
BA,Compression losses,2040,0.276341454175692
BA,Compression losses,2045,0.1446509487488788
BA,Compression losses,2050,0.0991106735182589
BA,Decentral heat production,2023,0.4483206705839441
BA,Decentral heat production,2030,0.5283430098677477
BA,Decentral heat production,2035,0.5160532601754159
BA,Decentral heat production,2040,0.5100126019505482
BA,Decentral heat production,2045,0.4117199497942854
BA,Decentral heat production,2050,0.380103193131773
BA,Direct Air Carbon Capture,2030,0.2364728811756983
BA,Direct Air Carbon Capture,2035,0.1413594364051787
BA,Direct Air Carbon Capture,2040,0.0860715372821049
BA,Direct Air Carbon Capture,2045,0.2259453650350887
BA,Direct Air Carbon Capture,2050,0.384516024281289
BA,Fuel Cell,2030,0.350729623600646
BA,Fuel Cell,2035,0.1845721092842223
BA,Fuel Cell,2040,0.1031895497238778
BA,Fuel Cell,2045,0.1038673174245584
BA,Fuel Cell,2050,0.0986239675308722
BA,Gas,2023,0.2358961738404584
BA,Gas,2030,0.3292301898594467
BA,Gas,2035,0.1608602855209335
BA,Gas,2040,0.1282493842313352
BA,Gas,2045,0.1102603577822869
BA,Gas,2050,0.048035135649273
BA,Gas CC,2030,0.3129465383560803
BA,Gas CC,2035,0.1339908667142067
BA,Gas CC,2040,0.1111348553555802
BA,Gas CC,2045,0.1303572644246635
BA,Gas CC,2050,0.0715551233603595
BA,Gas CHP,2023,0.4263461301190943
BA,Gas CHP,2030,0.161885372311649
BA,Gas CHP,2035,0.099502660425522
BA,Gas CHP,2040,0.0790207413281396
BA,Gas CHP,2045,0.0481449680999386
BA,Gas CHP,2050,0.020838210325318
BA,Gas CHP CC,2023,0.583644543002321
