snapshots,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23
carrier,CO2 emissions,CO2 emissions,CO2 emissions,CO2 emissions,Electricity,Hydrogen,CO2 emissions,Decentralized heat,Electricity,Centralized heat,Methane,CO2 emissions,Electricity,Decentralized heat,CO2 emissions,Electricity,Electricity,Centralized heat,Methane,CO2 emissions,Electricity,Electricity,Decentralized heat,Decentralized heat
sector,Aviation emissions,Agriculture emissions,Shipping emissions,Industry emissions,Nuclear,Steam Methane Reforming,Methane production emissions,Heat Pump,Biomass CHP,Biomass CHP,Imports,Transport emissions,Offwind,Gas Boiler,Decentral heat production emissions,Solar,Onwind,Gas Boiler,Storage,Power supply emissions,Gas,Hydroelectricity,Resistive heater,Oil Boiler
2023-10-28 15:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578259313234,4.0339995164364755,0.6048927821694577,0.1591823110972257,0.9385146260296579,0.110171046508884,0.3386739577865695,14.024151480839432,4.34736313942086,1.5070253943430774,4.857641895602426,1.0896750440618026,0.2321311855555002,3.2332712466874676,0.4537091043775673,,2.4615111497188275e-06,6.245361793353774e-06,0.018346446229690404,2.410673041993103e-06,1.870148207333284e-06
2023-10-28 18:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578261922406,4.033999519377136,0.6042555652100936,0.1590146224237088,0.9384786187462957,0.253249168562198,0.778506703357868,14.716385813633206,1.99905590129466,1.5070253951627262,4.821816795883439,0.9967763423082601,,3.2112879603562745,0.0133218724448998,0.0,2.5824649759555996e-06,6.5808670346504286e-06,0.01835956423673083,2.3448159168642287e-06,1.872279263041398e-06
2023-10-28 21:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.0345782646379025,4.033999481356526,0.6037967213282859,0.1588938740337594,0.9289040063282579,0.1101052865789001,0.3384718068906929,16.090129327284536,0.7879657508106542,1.5070253847941828,3.8392925793030055,0.876657783278203,,3.1044521314645177,0.4380104152978383,0.0,1.6286391353612972e-06,3.949469446924543e-06,0.018367207726298726,2.340367688773567e-06,1.7301423112279338e-06
2023-10-29 00:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578267476499,4.033999479256383,0.603822523060689,0.1589006639633391,0.9384072263166663,0.139107785582296,0.4276276371603916,17.826168487200192,0.407129232881228,1.5070253841298378,8.634885286738221,1.8698124823464681,,3.0740807558314462,0.4605293733784195,0.0,1.6015505567504962e-06,3.8756090806971646e-06,0.018369534912684574,2.6298633691529915e-06,2.022004351691093e-06
2023-10-29 03:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578270443229,4.03399947946071,0.6045967843670037,0.1591044169386851,0.9383670458282215,0.1731403206410887,0.5322461708596431,18.94929028072174,2.03409418990882,1.50702538415056,13.767609825982838,2.928768805981209,,3.161830113529885,0.4639416701764389,3.6607393607711862,1.6035708701404344e-06,3.881123484277105e-06,0.01836995867247796,2.6951405658802315e-06,2.099197811245515e-06
2023-10-29 06:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.03457827356924,4.03399951746537,0.6056422583410134,0.1593795416686877,0.938329522412469,0.1762522049781587,0.5418123338217471,19.282622899957463,4.3078832675632,1.507025394533181,14.221776562261793,3.0224100118622936,0.973201171455362,3.055162689139153,0.463934379509723,3.7970091967446193,2.505790302128316e-06,6.368772860439509e-06,0.018375961108973972,2.458935628002936e-06,2.0836472893783867e-06
2023-10-29 09:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.0345782768204925,4.033999425882307,0.6056637490817237,0.1593851971267694,0.9382385646544323,0.1654611129455507,0.5086397175733597,20.143031502069913,3.490549019522241,1.50701176100978,12.60974525826602,2.6898847800916137,3.3522914893415647,2.789218186360644,0.4631741747146128,1.2739929840580602,1.1847463610863004e-06,2.7490496436897026e-06,0.01838259062780862,2.6221323476322622e-06,1.9772521675254335e-06
2023-10-29 12:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578280275086,4.033999494957593,0.6056724277532339,0.1593874809876931,0.9381709349788796,0.1620555376363841,0.4981707268081438,20.330747604061592,4.06088051259774,1.5070248860587496,12.095588255192943,2.5838042151973615,2.4352768558866265,2.36074069887113,0.4628198013513224,0.5559176944797151,1.8386749013460957e-06,4.52546166806959e-06,0.01840394599335956,2.634648859718692e-06,1.972677725772884e-06
2023-10-29 15:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.03457828401993,4.033999552397871,0.6055293292285752,0.1593498234812039,0.9381218778711863,0.3113356575662055,0.957068873259076,20.379012872512476,4.64259807800932,1.5069832361342963,12.808637633660576,2.6446328843541473,0.3007891619524669,1.9181948860189637,0.0189317708340055,0.8116735416408155,1.569798933209782e-05,4.325572964704367e-05,0.031212823416997014,2.246415517050076e-06,2.0742287960728984e-06
2023-10-29 18:00:00,0.58593168188152,0.0612491686159573,2.8442055352902456,4.034578287927566,4.033999551044328,0.605162392197947,0.1592532611047228,0.9380735934689641,0.310449727494725,0.9543454585948954,20.489057376191894,2.1461557556875803,1.4466758162084534,12.675092690353818,2.617080804785595,,1.42553310447338,0.0188440043961362,0.5633661167195638,1.1247260912741009e-05,3.079563935184867e-05,0.01828771090573033,2.2376490327939087e-06,2.0822432362538713e-06
